행정구역명,학원-교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,개설일자,적재일시
동작구,교습소,27872,알앤티영어교습소,서울특별시 동작구 매봉로 134,신동아아파트 상가동 3층 310호(본동),입시.검정 및 보습,보통교과,초등영어1,보습,90,9,초등영어1:240000/ 초등영어2:200000/ 초등영어3:210000/ 초등영어4:230000/ 초등영어5:230000/ 중등영어1:280000/ 중등영어2:270000/ 고등영어1:320000/ 고등영어2:310000/ 초등영어6:220000,,N,156768,개원,2010-03-08,2010-03-08,2021-10-17
동작구,교습소,27884,백선생수학교습소,서울특별시 동작구 여의대방로 28,현대아파트 상가 에이동 227호(신대방동),입시.검정 및 보습,보통교과,초등수학,보습,8,4,,N,N,156787,개원,2010-02-12,2010-02-12,2021-10-17
동작구,교습소,28114,예랑한자교습소,서울특별시 동작구 사당로2가길 102,자이아파트 상가동105호 (사당동),기타(대),기타(중),한자초등A,기타(소),40,8,한자초등A:40000/ 한자초등B:60000/ 한자초등C:90000/ 한자중등A:45000/ 한자중등B:80000,N,N,156744,개원,2010-03-15,2010-03-15,2021-10-17
동작구,교습소,28260,뉴멘토수학교습소,서울특별시 동작구 서달로 150,/ 142호 (흑석동/ 이랜드해가든),입시.검정 및 보습,보통교과,고등수학,보습,15,5,,N,N,6980,개원,2010-04-06,2010-04-06,2021-10-17
동작구,학원,28522,미술로생각하기상도미술학원,서울특별시 동작구 상도로30길 40,/ 216호(아파트업무시설) (상도동/ 상도2차 두산위브트레지움 아파트),예능(대),예능(중),미술/,미술,14,76,,N,N,6964,개원,2010-05-04,2010-05-04,2021-10-17
동작구,학원,28578,김영편입인문계전문관학원,서울특별시 동작구 노량진로 196,/ 4층 (노량진동/ 노량빌딩),인문사회(대),인문사회(중),대학편입/,대학편입,17900,149,,Y,N,6913,개원,2010-05-12,2010-05-12,2021-10-17
동작구,교습소,28811,바이블수학교습소,서울특별시 동작구 여의대방로 44길 9,성원상가 207호(대방동),입시.검정 및 보습,보통교과,초등수학,보습,54,6,초등수학:200000/ 초등수학:100000/ 중등수학:280000/ 중등수학:340000/ 중등수학:200000/ 중등수학:150000/ 고등수학:350000/ 고등수학:400000/ 고등수학:200000,N,N,156762,개원,2010-05-27,2010-05-27,2021-10-17
동작구,교습소,28814,아트에이미술교습소,서울특별시 동작구 등용로 127,/ 대방현대아파트103동 상가 3층 301호 일부 (대방동/대방동현대아파트),예능(대),예능(중),초등미술,미술,6,9,초등미술:110000,N,N,156760,개원,2010-05-13,2010-05-13,2021-10-17
동작구,교습소,29112,강위청국어교습소,서울특별시 동작구 상도로 238,/ 3층 (상도동),입시.검정 및 보습,보통교과,초등국어,보습,18,6,초등국어:100000/ 중등국어:150000/ 고등국어:270000,N,N,156831,개원,2010-06-08,2010-06-08,2021-10-17
동작구,교습소,29381,피보나치수학교습소,서울특별시 동작구 여의대방로36길 22,영도빌딩3층 (대방동),입시.검정 및 보습,보통교과,고등수학,보습,9,9,고등수학:300000,N,N,156810,개원,2010-07-12,2010-07-12,2021-10-17
동작구,교습소,29383,잼앤클래식음악교습소,서울특별시 동작구 성대로29길 67,2층 (상도동),예능(대),예능(중),바이엘,음악,45,5,바이엘:110000/ 체르니100:120000/ 체르니30:130000/ 체르니40:140000/ 체르니50:150000/  입시:250000/ 피아노 반주:140000/ 피아노 주3회:100000/ 피아노 주4회:100000,N,N,156840,개원,2010-07-21,2010-07-21,2021-11-14
동작구,학원,29390,에코실용음악학원,서울특별시 동작구 상도로 73,보광빌딩3층일부 (대방동),예능(대),예능(중),음악/,음악,13,68,,N,N,156808,개원,2010-07-26,2010-07-26,2021-10-17
동작구,학원,29400,신동성환경기술학원,서울특별시 동작구 노량진로 4,/ 4층 일부,직업기술,산업기반기술,환경/,환경,1700,143,,Y,N,6938,개원,2010-07-27,2010-07-27,2021-10-17
동작구,교습소,29466,길선생영어교습소,서울특별시 동작구 매봉로 134,신동아아파트 상가동206/207호 (본동),입시.검정 및 보습,보통교과,초등영어,보습,21,7,초등영어:170000/ 중등영어:170000/ 고등영어:170000,N,,156060,개원,2010-07-27,2010-07-27,2021-10-17
동작구,학원,29486,눈높이러닝센터상도성대보습학원,서울특별시 동작구 성대로 11,/ 3층 (상도동),입시.검정 및 보습,보통교과,보습/,보습,705,71,,N,N,6959,개원,2010-08-04,2010-08-04,2021-10-17
동작구,학원,29529,이수케이투학원,서울특별시 동작구 동작대로39길 22,/ 이수힐스테이트아파트단지내상가 2층 234~237 (동작동/ 이수힐스테이트),입시.검정 및 보습,보통교과,,보습,774,70,,Y,N,6993,개원,2010-08-10,2010-08-10,2021-10-17
동작구,교습소,29668,로드맵수학교습소,서울특별시 동작구 사당로2가길 139,/ 1층 (사당동),입시.검정 및 보습,보통교과,초등,보습,35,5,초등:160000/ 중등예습:180000/ 중등:220000/ 고등예습:250000/ 고1:350000/ 고2:400000/ 고3:400000,N,N,156879,개원,2010-08-10,2010-08-10,2021-10-17
동작구,교습소,29749,아몬드나무미술교습소,서울특별시 동작구 상도로53길 13,/ 402호 일부 (상도동/ 래미안상도3차아파트),예능(대),예능(중),미술일반,미술,8,8,,Y,N,6971,개원,2010-08-27,2010-08-27,2021-10-17
동작구,학원,29793,숭실테리앤제니학원,서울특별시 동작구 상도로41가길 3,1/2층(상도1동),기타(대),기타(중),기타(소)/,기타(소),168,236,,Y,N,156830,개원,2010-09-09,2010-09-09,2021-10-31
동작구,교습소,29953,으뜸논술으뜸국어교습소,서울특별시 동작구 매봉로 134,신동아아파트 상가1층(106.107.108.109호) (본동),입시.검정 및 보습,보통교과,,보습,48,8,,N,N,156060,개원,2010-09-09,2010-09-09,2021-10-17
동작구,교습소,3000010091,정아음악교습소,서울특별시 동작구 사당로16길 93,2층 (사당동),예능(대),예능(중),피아노 입시,음악,50,6,,N,N,156821,개원,2011-03-08,2011-03-08,2021-10-17
동작구,학원,3000010304,원스톱보습학원,서울특별시 동작구 신대방14길 16,지하1층 (신대방동),입시.검정 및 보습,보통교과,보습/,보습,93,73,,Y,N,156853,개원,2011-03-18,2011-03-18,2021-10-17
동작구,교습소,3000010578,드림하이수학교습소,서울특별시 동작구 장승배기로 16,2층(상도동),입시.검정 및 보습,보통교과,초등 1/2/3 수학,보습,35,5,초등 1/2/3 수학:160000/ 초등 4/5 수학:170000/ 초등 6 수학:180000/ 중등 1 수학:230000/ 중등 2/ 3 수학:240000/ 고등 1 수학:290000/ 고등 2/3 수학:300000,N,N,156838,개원,2011-03-21,2011-03-21,2021-10-17
동작구,학원,3000010601,액팅원연기학원,서울특별시 동작구 동작대로7길 56,/ 2층 액팅원연기학원 (사당동),기타(대),기타(중),연극/,연극,72,71,,Y,N,156826,개원,2011-04-08,2011-04-08,2021-10-17
동작구,학원,3000010603,백송미술학원,서울특별시 동작구 노량진로 145,(노량진동),직업기술,산업응용기술,디자인/,디자인,236,66,,Y,N,156800,개원,2011-04-06,2011-04-06,2021-10-17
동작구,교습소,3000010632,유재경영어교습소,서울특별시 동작구 상도로 21,/ 2층 일부 (대방동),입시.검정 및 보습,보통교과,,보습,8,4,,Y,N,6955,개원,2011-03-03,2011-03-03,2021-10-17
동작구,학원,3000010912,지더블유피고시학원,서울특별시 동작구 노량진로 196,/ 2층,인문사회(대),인문사회(중),성인고시/,성인고시,1120,171,,Y,N,6913,개원,2011-05-17,2011-05-17,2021-10-17
동작구,학원,3000011121,요미요미신대방학원,서울특별시 동작구 대림로 22,/ 6층 (신대방동/ 천보빌딩),기타(대),기타(중),기타(소)/,기타(소),70,70,,N,,156854,개원,2011-06-02,2011-06-02,2021-10-17
동작구,학원,3000011123,푸른이엠보습학원,서울특별시 동작구 노량진로 250,/ 2층 우측 (본동),입시.검정 및 보습,보통교과,보습/,보습,75,71,,Y,N,6907,개원,2011-05-09,2011-05-09,2021-10-17
동작구,교습소,3000011286,한우리독서토론논술교습소,서울특별시 동작구 상도로 69,/ 402호 (대방동),입시.검정 및 보습,보통교과,초등논술,보습·논술,21,7,초등논술:60/ 중등논술:110/ 고등논술:140,Y,N,6953,개원,2011-06-10,2011-06-10,2021-10-17
동작구,학원,3000011357,아이비보습학원,서울특별시 동작구 사당로16길 28,(3층) (사당동),입시.검정 및 보습,보통교과,보습/,보습,56,50,,Y,N,156821,개원,2011-06-24,2011-06-24,2021-10-17
